"Markettype","Trdwnt","Ndaytrd","Wnshrtrdtl","Wnvaltrdtl","Wretmdeq","Wretmdos","Wretmdtl","Wnstkcal","Wmvosd","Wmvttl"
"8","2009-35","5","427131665","2109589027.30","0.007236","-0.010065","-0.007467","54","81970573.000","92945842.610"
"4","2009-35","5","32877615558","382035791514.78","0.022221","-0.004984","-0.005810","724","2648058281.670","4302857688.540"
"2","2009-36","5","352549014","274797036.00","-0.012964","-0.013678","-0.010030","53","9542035.830","13478455.040"
"1","2009-36","5","55547824819","593779594629.00","-0.007360","0.003842","0.000464","833","7337576036.090","15629480960.430"
"8","2009-36","5","438245161","2096854461.11","0.005111","0.012798","0.010255","54","83019639.710","93899027.830"
"4","2009-36","5","26737079953","301642642964.57","-0.012289","-0.004355","-0.006741","730","2643098691.050","4294039560.910"
"2","2009-37","5","371268463","276630867.00","0.039053","0.037192","0.036039","53","9896923.680","13964215.840"
"1","2009-37","5","61529553194","701698696510.00","0.042954","0.047855","0.045039","832","7693246018.030","16328807738.860"
"8","2009-37","5","378364767","2092635648.70","0.040161","0.044612","0.043895","54","86723324.910","98020734.960"
"4","2009-37","5","31779736388","395401036897.69","0.067026","0.049516","0.052405","735","2785557571.550","4548377989.180"
"2","2009-38","5","417793694","295587279.00","0.002391","0.004200","0.005243","53","9938498.420","14037432.470"
"1","2009-38","5","76023379917","843064617480.00","0.025502","-0.006372","-0.007974","833","7672661809.800","16177796250.990"
"8","2009-38","5","465298171","2123212350.91","0.019809","-0.001229","-0.000624","54","86608729.820","97951536.470"
"4","2009-38","5","39983621427","484404479553.09","0.034639","0.013975","0.013584","736","2829843211.080","4613067755.350"
"2","2009-39","5","250034284","193435610.00","-0.023247","-0.024303","-0.022107","52","9534738.980","13564512.000"
"1","2009-39","5","54314162705","591079827134.00","-0.054054","-0.042797","-0.041512","831","7391396495.800","15574800047.190"
"8","2009-39","5","343198628","1652914099.26","-0.024149","-0.027196","-0.026015","54","84253272.310","95403250.190"
"4","2009-39","5","27807301318","334126916410.75","-0.049893","-0.052359","-0.052675","733","2674450770.470","4360517505.870"
"2","2009-40","3","118545553","90438889.00","-0.034553","-0.028037","-0.026612","53","9429012.840","13365361.330"
"1","2009-40","3","20908792486","217312028264.00","-0.041099","-0.021154","-0.021093","835","7262343417.490","15290298509.180"
"8","2009-40","3","150518920","725490369.97","-0.019274","-0.012341","-0.013557","54","83213417.140","94109772.240"
"4","2009-40","3","11087369559","125662053607.87","-0.041886","-0.027686","-0.028488","739","2613353884.090","4251101284.870"
"2","2009-41","1","52951137","49007716.00","0.033450","0.035964","0.037496","52","9735487.910","13833831.070"
"1","2009-41","1","8501704406","92833296737.00","0.051480","0.049104","0.048035","825","7571182877.740","15911143798.900"
"8","2009-41","1","66403922","383922065.48","0.032628","0.034833","0.034664","52","84926836.550","96187012.250"
"4","2009-41","1","4280046341","52017883495.65","0.050610","0.052366","0.052026","727","2694451304.710","4395914945.020"
"2","2009-42","5","224250731","192592177.00","0.016994","0.017456","0.021155","53","9937485.140","14158658.480"
"1","2009-42","5","48641256375","543967202770.00","0.040278","0.025866","0.022179","840","8523837879.130","16420738933.690"
"8","2009-42","5","366474844","1842236592.17","0.025912","0.010658","0.011167","53","86026147.430","97455409.490"
"4","2009-42","5","25115536059","305647770557.78","0.042719","0.031752","0.032514","738","2802533035.740","4577072506.890"
"2","2009-43","5","262663531","253066771.00","0.029448","0.043427","0.051549","53","10369040.780","14888532.360"
"1","2009-43","5","63875531117","738011049913.00","0.047736","0.044978","0.044376","841","8898253976.950","17112453806.810"
"8","2009-43","5","472306038","2490564621.65","0.045001","0.039301","0.038845","53","89901122.660","101734900.020"
"4","2009-43","5","36583545411","450654043610.29","0.054539","0.058241","0.056197","743","3021105027.010","4894512067.640"
"16","2009-44","1","434170679","21908391264.92","","","","28","25069048.000","139967399.580"
"2","2009-44","5","218633611","222945811.00","-0.023970","-0.020691","-0.019290","53","10154484.560","14601327.970"
"1","2009-44","5","54957410076","618552657877.00","-0.025079","-0.034113","-0.036036","840","9896193108.790","16507417101.850"
"8","2009-44","5","425716926","2247288953.42","-0.018308","-0.017073","-0.018667","52","87906177.460","99376462.070"
"4","2009-44","5","32053982158","399250347352.26","-0.022155","-0.026064","-0.029740","741","2937578483.150","4737839975.330"
"16","2009-45","5","569285720","25374074020.37","-0.108929","-0.111244","-0.114358","28","22280263.360","123960936.880"
"2","2009-45","5","334590339","324328562.00","0.049910","0.058758","0.067007","53","10751151.060","15579729.450"
"1","2009-45","5","73881931463","823171338871.00","0.079421","0.059908","0.056341","840","10490924622.970","17460200990.220"
"8","2009-45","5","563757090","2685477429.10","0.059511","0.046084","0.047444","53","92446860.830","104581549.800"
"4","2009-45","5","42665008521","523220604923.22","0.077634","0.069203","0.067804","744","3131962243.100","5104469626.800"
"16","2009-46","5","336374499","14395855818.28","0.045590","0.031401","0.025020","28","22979908.800","127062454.440"
"2","2009-46","5","710020424","616638515.00","0.129652","0.141198","0.155616","53","12269194.310","18004200.570"
"1","2009-46","5","69053989276","780155716020.00","0.030813","0.011267","0.007026","840","10649015371.340","17584290612.830"
"8","2009-46","5","894816613","4736926833.87","0.128603","0.111428","0.116414","53","102748092.590","116756395.050"
"4","2009-46","5","37804957242","469778762270.16","0.031733","0.025185","0.024483","742","3187517550.860","5181647635.510"
"16","2009-47","5","428912615","19635769378.81","0.121379","0.099982","0.096644","28","25277503.040","139342314.470"
"2","2009-47","5","1110587322","993542324.00","0.078359","0.046527","0.046871","53","12840052.410","18848082.160"
